HJD,UT Date,Camera,FWHM,Limit,mag,mag_err,flux(mJy),flux_err,Filter
2459309.5222374,2021-04-05.0236567,bH,1.52,14.982,10.599,0.005,209.251,0.927,g
2459309.5235434,2021-04-05.0249628,bH,1.52,15.000,10.640,0.005,201.390,0.947,g
2459309.5248250,2021-04-05.0262446,bH,1.55,14.973,10.592,0.005,210.637,0.944,g
2459312.5127578,2021-04-08.0144214,bH,1.41,15.010,10.681,0.005,194.004,0.909,g
2459312.5140341,2021-04-08.0156977,bH,1.42,15.008,10.672,0.005,195.418,0.949,g
2459312.5153168,2021-04-08.0169805,bH,1.38,14.978,10.665,0.005,196.825,0.946,g
2459313.5051234,2021-04-09.0068666,bH,1.46,15.096,10.789,0.005,175.532,0.843,g
2459313.5064013,2021-04-09.0081445,bH,1.46,15.104,10.814,0.005,171.536,0.812,g
2459313.5076804,2021-04-09.0094238,bH,1.44,15.101,10.810,0.005,172.267,0.818,g
2459314.2675395,2021-04-09.7693434,bp,1.56,15.040,10.729,0.005,185.583,0.934,g
2459314.2687740,2021-04-09.7705780,bp,1.59,15.042,10.739,0.005,183.963,0.865,g
2459314.2700074,2021-04-09.7718115,bp,1.57,15.053,10.765,0.005,179.555,0.895,g
2459315.2715893,2021-04-10.7734724,bp,1.62,14.983,10.701,0.006,190.465,1.024,g
2459315.2728849,2021-04-10.7747682,bp,1.59,14.990,10.721,0.005,187.061,0.976,g
2459316.2586590,2021-04-11.7606192,bp,1.5,14.871,10.641,0.006,201.150,1.239,g
2459316.2598798,2021-04-11.7618400,bp,1.48,14.656,10.643,0.016,200.749,2.994,g
2459316.2611217,2021-04-11.7630821,bp,1.49,14.845,10.632,0.007,202.798,1.425,g
2459316.5011366,2021-04-12.0031156,bH,1.43,15.019,10.646,0.005,200.196,0.879,g
2459316.5024125,2021-04-12.0043916,bH,1.45,15.022,10.652,0.005,199.162,0.854,g
2459316.5036952,2021-04-12.0056744,bH,1.43,15.006,10.624,0.005,204.420,0.949,g
2459318.2684987,2021-04-13.7706135,bp,1.65,14.899,10.643,0.006,200.882,1.112,g
2459318.2697216,2021-04-13.7718364,bp,1.7,14.893,10.630,0.006,203.268,1.177,g
2459318.2709414,2021-04-13.7730563,bp,1.66,14.891,10.635,0.006,202.178,1.120,g
2459320.4769580,2021-04-15.9792383,bH,1.48,15.017,10.611,0.005,206.887,0.936,g
2459320.4782377,2021-04-15.9805182,bH,1.47,15.019,10.621,0.005,204.941,0.866,g
2459320.4795247,2021-04-15.9818053,bH,1.47,15.012,10.608,0.005,207.487,0.941,g
2459321.5135173,2021-04-17.0158740,bl,1.52,13.859,10.816,0.023,171.246,3.612,g
2459321.5147531,2021-04-17.0171099,bl,1.46,13.398,10.555,0.020,217.717,4.013,g
2459321.5159687,2021-04-17.0183255,bl,1.57,13.341,10.732,0.041,184.884,6.960,g
2459322.4674862,2021-04-17.9699121,bH,1.76,14.967,10.652,0.006,199.190,1.033,g
